,after_jieba,label
0,"['新闻联播', '火车', '盒饭', '只要', '元', ' ', '吃', '过', '吗', '】', '新闻联播', '记者', '亲身', '登上', '火车', '报道', '火车', '东西', '一点', '不贵', '网友', '吐槽', '央视', '记者', '怎么', '买', '火车票', '、', '""', '不能', '别逗', '元太能', '扯', '！', '便宜', '矿泉水', '要', '五块', '以上', '还', '能', '买', '盒饭', '？', '播', '新闻联播', '的', '人', '难道', '没', '做', '过', '火车', '？', '""']",0
1,"['山洞', '里', '希望', '小学', '网友', '爆料', '贵州省', '紫云', '县中洞', '希望', '小学', '建于', '山洞', '内', '当地', '条件', '艰苦', '很多', '为省', '下', '元', '钱', '住宿费', '每天', '走', '几十里', '山路', '上下学', '当', '所', '奇怪', '小学', '照片', '出现', '全球', '网络', '上时', '最后', '愤怒', '官员', '关闭', '学校', '理由', '中国', '作为', '世界', '经济', '第二', '大国', '这', '山洞', '小学', '中国', '看起来', '像', '“', '原始', '国家', '，', '太', '没面子', '。']",0
2,"['这是', '日本', '所', '发明', '一种', '宠物', '养殖', '技术', '叫', '盆景', '猫', '他们', '小猫', '喂食', '一种', '促进', '骨质', '软化', '化学', '药物', '然后', '强', '塞进', '瓶子', '里', '等', '小猫', '长大', '身体', '胀满', '瓶子', '...']",0
3,"['已经', '证实', '保罗', '没', '死', '图慎点']",0
4,"['今天', '两个', '中江县', '红十字会', '人来', '这里', '购买', '1', '万多元', '救灾', '药品', '但', '要求', '开', '万多元', '发票', '我们', '成都', '制药', '一厂', '没有', '答应', '结果', '由', '隔壁', '通化', '一家', '药厂', '经营部', '开', '他们', '的', '真实', '身份', '吴斌', '1973', '10', '12', '出生', '家住', '什邡市', '方亭', '镇', '中心', '大街', '西段', '67', '号', '。', '跪', '多', '消灭', '贪官', '，', '为民除害', '否则', '天理难容']",0
5,"['正义', '付出', '代价', '@', '杜楠', '爆料', '小姑娘', '开除', '为', '正义', '付出', '代价', '谦谦女', '余姚', '工商银行', '员工', '当', '看到', '这张', '支票', '时候', '十分', '气愤', '吃顿', '鲍鱼', '五万多', '财政局', '怎么', '这样', '糟蹋', '纳税人', '钱', '呢', '?', '于是', '上传', '这张', '支票', '现在', '已经', '银行', '开除', '，', '她', '微博', '删除', '全部内容', '。', '对此', '该', '做些', '什么', '@', '徐昕', '@', '观点', '联播', '@']",0
6,"['雅安', '地震', '灾难', '奸商', '发财', '求', '扩散', '本来', '现在', '旅游', '淡季', '广州', '北京', '合肥', '等', '地', '飞往', '成都', '机票', '打折扣', '然而', '在', '地震', '发生', '几小时', '航空公司', '却', '打折', '取消', '，', '变为', '全价', '票', '现在', '飞', '成都', '乘客', '，', '多', '是', '救援', '志愿者', '医护', '记者', '伤亡者', '亲人', '什么', '叫', '卑鄙', '什么', '叫', '无耻']",0
7,"['北京', '什刹海', '即将', '开始', '拆迁', '16', '万平方米', '胡同', '授权', '拆毁', '元代', '砖塔', '胡同', '等', '天恒', '集团', '进行', '开发', '该', '项目', '总', '投资', '达', '83', '亿', '天恒', '集团', '获得', '40', '亿', '贷款', '还', '面向', '港商', '招商', '今年', '什刹海', '即将', '拆迁', '近', '百户', '（', '涉及', '已', '翻修', '一新', '白米', '斜街', '烟袋', '斜街', '请', ' ', '看', '详情', '他发', '这条', '刚', '禁止', '和', '评论', ' ', '\u200b']",0
8,"['调查', '地沟油', '记者', '李翔', '死', '】', '身中', '余刀', '惨死', '他', '全国', '不能', '吃', '特供', '十多亿', '草泥马', '食品安全', '努力', '过', '他', '付出', '年轻', '生命', '草泥马', '们', '请动', '一下', '鼠标', '表达', '一下', '谢意', '不过', '吧', '[', '悲伤', '恭请', '转发', '！', '！']",0
9,"['太', '活跃', '鱼', '千万别', '买', '去', '买', '鱼', '结果', '看到', '惊人', '一幕', '摊贩', '往', '水盆', '内', '加入', '一种', '白色', '粉未', '迅速', '用手', '搅拌', '一会', '功夫', '白色', '粉未', '溶解', '将', '半死不活', '鱼虾', '倒入', '其中', '一会儿', '活蹦乱跳', '开', '仿佛', '刚', '从', '河中捕', '回来', '这是', '一种', '能够', '致癌', '催化剂', '俗称', '鱼', '浮灵', '也', '智力', '影响', '。', '相互', '转告', '一下', '有', '必要', '更', '的', '知道']",0
